id	filename	md5	size	state
23b6d61d-f2a1-43af-9026-e4c41ef228b5	23b6d61d-f2a1-43af-9026-e4c41ef228b5/c0d5e6ca-513e-47df-aab0-645a1249577f.wxs.aliquot_ensemble_masked.maf.gz	a9f8007501a0f964b607b32162e05f5e	465538	validated
2438909e-dd04-4461-a8ac-e45f28e391e5	2438909e-dd04-4461-a8ac-e45f28e391e5/a14c5602-5e0e-4227-ace4-cf79a5b57861.wxs.aliquot_ensemble_masked.maf.gz	b778bc4c47fdb2320cedfc5fc8a9bf13	55531	validated
255aec8b-7fd6-4967-8214-7ea643562861	255aec8b-7fd6-4967-8214-7ea643562861/4e102161-bbf9-450a-9b79-bb16835a7c22.wxs.aliquot_ensemble_masked.maf.gz	c1a709ff80dc3c74642c8501640adb73	246141	validated
2617d0c4-2a07-4bd5-b40d-d2e2587e773a	2617d0c4-2a07-4bd5-b40d-d2e2587e773a/bdbfff52-ba7b-44a8-b36c-b91294fe8051.wxs.aliquot_ensemble_masked.maf.gz	c90d25667397d16c8d4920755df2ff4b	26242	validated
261c8dde-94dd-4c51-8192-07a69a747ca5	261c8dde-94dd-4c51-8192-07a69a747ca5/f2792131-7614-4a47-80d5-2fa1ccc385fe.wxs.aliquot_ensemble_masked.maf.gz	7e5a98d57dfbd7a7a7fe28057a2bdd48	17926	validated
26896408-4b12-4680-8969-1fc081890f6c	26896408-4b12-4680-8969-1fc081890f6c/4e767ce5-8c64-450a-afd0-07b17da7bf86.wxs.aliquot_ensemble_masked.maf.gz	271249bcfec8a06f94bff8bfb0637cde	32189	validated
269f3736-d284-4e8d-a1c2-d478c0953867	269f3736-d284-4e8d-a1c2-d478c0953867/a8bb85f2-488a-4ffc-9014-271198fe65fb.wxs.aliquot_ensemble_masked.maf.gz	aea09a05ea9fa005b4b514f1daa808a4	30769	validated
26c8b80e-3c12-4de0-bea1-e5ebc443f59b	26c8b80e-3c12-4de0-bea1-e5ebc443f59b/75bfe887-92fd-4881-8fde-6af85da1e0b1.wxs.aliquot_ensemble_masked.maf.gz	93cdb2281c721f202fe51cafac7fc028	228549	validated
2733f044-783a-474e-8413-06ed717094b2	2733f044-783a-474e-8413-06ed717094b2/5629bbdf-1bad-4fce-b0c9-cb4602e098f5.wxs.aliquot_ensemble_masked.maf.gz	0e060ffb4387600b5f09c6ebbe83bad8	392294	validated
27b31a43-baf0-4377-9300-c309deb078d4	27b31a43-baf0-4377-9300-c309deb078d4/f3c1a087-1d4f-4a9d-b1fb-ece6e3ccdd27.wxs.aliquot_ensemble_masked.maf.gz	8d7a6413c14a4b07165e0528cf8467e2	74377	validated
28fa88c6-83d5-4ee2-b230-9fffdc3a5a67	28fa88c6-83d5-4ee2-b230-9fffdc3a5a67/dc87f442-d1cf-4490-885d-2510f724d535.wxs.aliquot_ensemble_masked.maf.gz	960cce31eff9962c6775962c7bafed1d	107310	validated
290750c2-1b19-4e45-911c-29d75238df86	290750c2-1b19-4e45-911c-29d75238df86/a5593ebb-77e7-4759-b8b7-26502273614f.wxs.aliquot_ensemble_masked.maf.gz	2ba56abf591149f1d2dbcaecf1c9d91e	12788	validated
290a3632-1935-4ff0-893a-d1cd54d55515	290a3632-1935-4ff0-893a-d1cd54d55515/efe3c388-73ad-49e3-8788-eb9d139de604.wxs.aliquot_ensemble_masked.maf.gz	a0c508f90bde288faca7256631bd297a	198469	validated
2996015b-821b-4c6a-9a29-6ba3833bf35c	2996015b-821b-4c6a-9a29-6ba3833bf35c/e2a10cb5-9756-4407-89a2-77c1662aa7b5.wxs.aliquot_ensemble_masked.maf.gz	8e46dc9b381666051910440635f9b4af	46603	validated
29fefd5a-8fb6-4733-82e8-49e8e4aaa71e	29fefd5a-8fb6-4733-82e8-49e8e4aaa71e/cd0183f6-f5eb-4d01-80b6-eb6bf6e1dc80.wxs.aliquot_ensemble_masked.maf.gz	7f970e368a006d046590b71cb6bb59af	46120	validated
2a53b431-88ae-431d-a7f3-ea1b0699ca25	2a53b431-88ae-431d-a7f3-ea1b0699ca25/29eae6c5-7c7f-4ac8-b484-0181ffe3e8d4.wxs.aliquot_ensemble_masked.maf.gz	37ebd7529f94b6b7f5628e1499f95f7b	20729	validated
2a8fb3ac-e292-49a1-84c8-d617e7182bde	2a8fb3ac-e292-49a1-84c8-d617e7182bde/2e27edc5-cb8c-4ae0-97e2-13e57c98f6f9.wxs.aliquot_ensemble_masked.maf.gz	a5ad62bb0ed166a1f5e50d0dfbeca7fe	327785	validated
2aa416cd-ccf8-4003-9473-a4372f43819d	2aa416cd-ccf8-4003-9473-a4372f43819d/3bb2ec15-a930-4bb4-ac41-5e596bfdcb11.wxs.aliquot_ensemble_masked.maf.gz	61ae6e15e43b4f711bb43ffc1b5b4442	20228	validated
2b2f59f7-641d-471d-9e8b-bd16dbfcbc66	2b2f59f7-641d-471d-9e8b-bd16dbfcbc66/e0a60b30-cd69-4897-914b-e670a2ff9263.wxs.aliquot_ensemble_masked.maf.gz	da80de0b980159b994d2e5d589ef80e5	34825	validated
2b3a6345-abed-492f-82f7-a1bbb851bc6d	2b3a6345-abed-492f-82f7-a1bbb851bc6d/dbedacd3-5f32-4649-88fa-f88e042fad96.wxs.aliquot_ensemble_masked.maf.gz	4fde1bf4d8bdd149deab57f54718992f	11924	validated
2c16fff6-41a9-4e18-a960-5853098c0a8c	2c16fff6-41a9-4e18-a960-5853098c0a8c/bd6360f5-cf14-40ea-847f-8124a4010d46.wxs.aliquot_ensemble_masked.maf.gz	11a106ce29dfd6b6e98756490f3718e8	108161	validated
2c260aa2-ab23-46dd-b22c-37a4fc94d154	2c260aa2-ab23-46dd-b22c-37a4fc94d154/f25464cf-4437-4237-a1f5-3f8899ad687e.wxs.aliquot_ensemble_masked.maf.gz	c2ef8fb7d6420e4534ccdd67ead6db8e	14394	validated
2cb2cae5-7236-44fc-a94f-9e07eb513b21	2cb2cae5-7236-44fc-a94f-9e07eb513b21/7a9d438a-d10a-41b2-a027-22378d8420d5.wxs.aliquot_ensemble_masked.maf.gz	072900cfc70f6a16831a679dc92f4ae1	167777	validated
2cfeeffa-2b32-4694-ba00-2cea6fc80135	2cfeeffa-2b32-4694-ba00-2cea6fc80135/84a97bf8-1c7c-4b0e-93be-0e1a597fccd2.wxs.aliquot_ensemble_masked.maf.gz	5494641e9f249fd24b8a24e7b22a9a67	1660	validated
2d5e787b-beda-4150-af59-754823215d3f	2d5e787b-beda-4150-af59-754823215d3f/7698a6c6-b085-410d-a484-d88ecd256b17.wxs.aliquot_ensemble_masked.maf.gz	dfc4e78dec9c7369a48a97e05b2f115b	74206	validated
2d6611dd-cfba-4086-8214-67378f677cf3	2d6611dd-cfba-4086-8214-67378f677cf3/2d658a00-a308-4fdb-a85e-9645214e0060.wxs.aliquot_ensemble_masked.maf.gz	3cb949273723738c33a3c3f541f6a5fc	38543	validated
2db98df9-d6b6-4371-a752-ac5bc3e7390e	2db98df9-d6b6-4371-a752-ac5bc3e7390e/108bc1b8-ce0e-4a9a-9cfd-4993c18def26.wxs.aliquot_ensemble_masked.maf.gz	ad4795f15b7b6a17dc0e7027461c49ea	8434	validated
2e302f86-0b2d-4f14-95e8-372063ef0abc	2e302f86-0b2d-4f14-95e8-372063ef0abc/fcb3615a-197a-45dc-bbad-aaadb18552d4.wxs.aliquot_ensemble_masked.maf.gz	20d2284e4db886fa6f1e698bc5865ebf	32537	validated
2e3ca258-ae9a-4f7c-b08b-726a9179e701	2e3ca258-ae9a-4f7c-b08b-726a9179e701/8fc8b878-e6d5-412f-85c8-cdcb41f35a81.wxs.aliquot_ensemble_masked.maf.gz	b24fbc61a42967ac8ed838563a964cb8	161116	validated
2e857df0-079d-4846-b35d-3a16daa5d4ca	2e857df0-079d-4846-b35d-3a16daa5d4ca/b48c59e5-ace4-4837-95b0-4529b6eb5b40.wxs.aliquot_ensemble_masked.maf.gz	36d1269210f705662e46cdc5d475764a	63465	validated
3027583e-2884-4e1f-b5af-b77ee16092aa	3027583e-2884-4e1f-b5af-b77ee16092aa/883fc7a1-a964-4202-b902-1a93524f6e05.wxs.aliquot_ensemble_masked.maf.gz	c9a4bcfea99f03bcc262694a87929d4d	352693	validated
30bb83de-e0e9-4f14-b017-3cea5dc3f58a	30bb83de-e0e9-4f14-b017-3cea5dc3f58a/076d240f-4ea0-444c-9348-7f8472ba6c71.wxs.aliquot_ensemble_masked.maf.gz	0dc9a37546ba199b0533bbef47f11378	77190	validated
30fffc39-074c-4666-960d-b83fe42457f8	30fffc39-074c-4666-960d-b83fe42457f8/4e8799f0-f997-4a02-a595-dbcbe9ddbaed.wxs.aliquot_ensemble_masked.maf.gz	e3013bcadbee53fbdaaca479291d40ab	44610	validated
